"word_lowercase","word","difficulty","standard_error","difficulty_lower","difficulty_upper","grade_eq","n_attempts","n_correct","n_incorrect","tasa_sfi","tasa_d","tasa_u","tasa_f","tasa_gr1","tasa_gr2","tasa_gr3","tasa_gr4","tasa_gr5","tasa_gr6","tasa_gr7","tasa_gr8","tasa_gr9","tasa_gr10","tasa_gr11","tasa_gr12","tasa_gr13","Log_Freq_HAL","Freq_SUBTLEXUS","sub_unigram_freq","wiki_unigram_freq","cyplex_7_9_raw_freq","cyplex_7_9_zipf_freq","cyplex_7_9_book_prop","cyplex_10_12_raw_freq","cyplex_10_12_zipf_freq","cyplex_10_12_book_prop","CD_SUBTLEXUS","Prevalence_Brys","Fam_Glasgow","AoA_Kuper","AoA_LWV","DPoS_Brys","POS","Conc_Brys","Imageability","Nmeanings_Websters","Valence_Warr","Valence_NRC","Arousal_Warr","Arousal_NRC","Emot_Assoc_Positive","Emot_Assoc_Joy","Sem_Diversity","Sem_N","NMorph","MorphSp","spelling_pattern","Length","Ortho_N","OLD20","OLD20F","Orth_Spread","BG_Sum","BG_Mean","BG_Frequency_By_Position","pronunciation","NPhon","NSyll","NSyll_ELP","NSyll_Chee","Phono_N","PLD20","PLD20F","First_Phon_bilabial","First_Phon_labiodental","First_Phon_interdental","First_Phon_alveolar","First_Phon_palatal","First_Phon_velar","First_Phon_glottal","First_Phon_stop","First_Phon_fricative","First_Phon_affricate","First_Phon_nasal","First_Phon_liquid","First_Phon_glide","First_Phon_voiced","Phonographic_N","Phonographic_N_Freq","spell2pron","Consistency_Token_FF_O","Consistency_Token_FF_R","Consistency_Token_FB_O","Consistency_Token_FB_R","Siegelman_OSC","Marelli_OSC"
"a","a",-7.00648112714271,0.315229784699643,-7.62433150515401,-6.38863074913141,0.458,100,87,13,83.8000030517578,0.998199999332428,24070,416415,21811,19884,23168,23295,24495,24646,24683,24761,24792,24828,24756,24584,22354,16.177,6.017525817,16024386,51884868,254657,7.36,1,473338,7.33,1,3.923399466,1.917255507,NA,2.893384,2.01871,"Article","minor|NN",1.46,217,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"{a}","a",1,5,1.45,9.831,1,NA,NA,NA,"""e",1,1,1,1,15,1,10.164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13.654,1.157894737,0.979947394,0.152852606,0.997000424,0.686473535,0.0692487297694978,NA
"abandon","abandon",1.01834209213194,0.426483588966496,0.182434257757608,1.85424992650627,3.192,35,25,10,46.7000007629395,0.621800005435944,4,114,NA,0,0,1,2,3,4,3,4,4,4,4,10,8.232,2.617000341,10683,21515,84,3.88,0.15,180,3.92,0.27,2.495544338,2.426670336,NA,8.32,8.32,"Verb","VB|NN",2.54,395,4,2.84,0.052,3.73,0.519,0,0,2.086242843,2511,1,"{abandon}","abandon",7,0,2.9,7.45,0,23742,3957,2648,"@.b""an.4@n",7,3,3,3,0,2.45,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2,0.969599574,0.454578024,0.811295454,0.444098388,0.130018314273607,NA
"abandoned","abandoned",1.07179852836165,0.506437812749064,0.0791804153734846,2.06441664134982,3.224,53,46,7,52.7000007629395,0.906799972057343,18,344,NA,1,4,7,10,13,14,16,16,20,19,22,32,8.549,2.831869774,19128,103373,286,4.41,0.34,624,4.46,0.55,2.731588765,2.575829304,NA,NA,8.32,"Verb","VB|JJ",2.52,NA,2,NA,0.046,NA,0.481,0,0,2.105497845,7627,2,"{abandon}>ed>","abandoned",9,0,3.55,6.329,0,36991,4623.875,4387,"@.b""an.4@nd",8,3,3,3,1,2.6,6.723,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.51851851851852,0.969599574,0.499423744,0.811295454,0.44917947,NA,NA
"abdomen","abdomen",4.47611478128805,0.587565323424154,3.32448674737671,5.62774281519939,6.837,15,6,9,46.4000015258789,0.657100021839142,4,106,NA,1,0,0,1,4,5,5,5,6,8,6,3,7.154,2.235528447,2799,10562,31,3.46,0.02,37,3.24,0.06,2.089905111,2.575829304,4.636,8.61,9.7632,"Noun","NN",4.7,548,2,5.43,0.469,3.68,0.462,0,0,1.232120475,4,1,"{abdomen}","abdomen",7,0,3,6.386,0,16079,2679.833,1894,"""ab.d@.m@n",7,3,3,3,0,3,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.42307692307692,0.972775171,0.470147037,0.847082752,0.641832458,0.505507909017319,NA
"abide","abide",3.34951984384771,0.428307482350478,2.51003717844077,4.18900250925465,5.238,30,16,14,44,0.831200003623962,2,50,NA,0,0,0,1,1,1,2,1,2,2,2,4,7.584,2.1430148,2425,7489,14,3.13,0.03,61,3.45,0.12,2.096910013,2.191458847,4.226,9.5,9.99085,"Verb","VB",1.68,NA,4,5.52,0.635,3.26,0.354,0,0,1.934225457,0,1,"{abide}","abide",5,3,1.7,7.774,2,9780,2445,1236,"@.b""aId",4,2,2,2,3,1.85,8.236,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.976,2.08,0.970907285,0.661069693,0.948078903,0.511527678,0.0365469897130008,0.964983487543046
"abilities","abilities",0.692359959706309,0.569844384740646,-0.424535034385357,1.80925495379798,3.012,24,19,5,52.5,0.808499991893768,17,366,NA,0,0,0,2,6,8,9,11,13,16,20,61,9.108,2.495544338,6754,47360,61,3.74,0.1,131,3.78,0.17,2.322219295,NA,NA,NA,NA,"Noun","NN",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.718538207,5826,3,"{able}>ity>>s>","abilities",9,0,2.95,6.448,0,42408,5301,5626,"@.b""Il.@.4iz",8,4,4,4,0,2.75,6.389,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2.66666666666667,0.834884115,0.515923293,0.897843352,0.598405656,NA,NA
"ability","ability",-0.73301519638521,0.517278663129192,-1.74688137611843,0.280850983348006,2.435,28,20,8,60,0.940299987792969,99,1816,NA,2,5,15,39,55,57,63,77,96,109,133,267,10.949,2.991669007,21502,187384,213,4.28,0.21,380,4.24,0.39,2.832508913,2.330078923,6,8.84,8.90485,"Noun","NN",1.81,327,1,7,0.875,4.85,0.51,1,0,2.058775888,7553,2,"{able}>ity>","ability",7,1,2.3,6.378,1,17325,2887.5,2405,"@.b""Il.@.4i",7,4,4,4,1,2.3,6.421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.113,1.72413793103448,0.834884115,0.518281385,0.897843352,0.571317214,0.404943053842876,NA
"able","able",-0.853353691335204,0.503620564911845,-1.84044999856242,0.133742615892012,2.399,30,21,9,64.8000030517578,0.986000001430511,301,5259,69,164,218,245,320,336,342,349,349,340,338,343,303,12.081,3.911477217,194533,443069,2818,5.4,0.88,5798,5.42,0.99,3.632052167,2.443087356,6.206,7.79,6.604859773,"Adjective","JJ",2.38,284,4,6.64,0.786,3.38,0.5,NA,NA,2.234491404,8430,1,"{able}","able",4,3,1.5,7.614,2,10711,3570.333,947,"""e.bl=",3,2,2,2,3,1.55,7.814,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2,0.970907285,0.576426303,0.948078903,0.546666774,-0.0202604769502241,0.256162524554511
"abnormal","abnormal",2.64809860578018,0.387522201211158,1.88855509140631,3.40764212015405,4.463,40,25,15,47.2000007629395,0.676400005817413,5,125,NA,0,0,0,0,0,0,0,1,2,3,5,19,7.698,2.173186268,3029,10925,6,2.8,0.01,13,2.81,0.03,2.11058971,2.441505434,NA,10.05,10.05,"Adjective","JJ",2.14,NA,1,3.53,0.137,4.48,0.604,0,0,1.477632433,79,3,"<ab<{norm--al}","abnormal",8,0,3.1,6.879,0,19285,2755,2558,"ab.n""Or.ml=",7,3,3,3,0,3.35,7.234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1.64285714285714,0.972393999,0.752948337,0.935593841,0.756790381,NA,NA
"aboard","aboard",-0.376959310564532,0.516177056896397,-1.38866634208147,0.634747720952406,2.552,42,36,6,52.2999992370605,0.742699980735779,16,362,6,10,15,16,19,20,19,19,22,18,18,17,7,8.222,3.133219457,13916,42982,289,4.41,0.26,606,4.44,0.31,2.851258349,2.326347874,NA,8.66217,7.776213636,"Adverb","minor|RB",3.97,NA,2,NA,0.698,NA,0.284,0,0,1.387164302,4090,1,"{aboard}","aboard",6,1,2.3,7.4,0,11804,2360.8,1196,"@.b""Ord",5,2,2,2,5,1.6,8.078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2,0.970907285,0.627502125,0.948078903,0.410009586,0.336777236632997,0.957353708666148
